Job Title,Frequency
Data Scientist,131
Data Engineer,53
Senior Data Scientist,34
Data Analyst,15
Senior Data Engineer,14
Senior Data Analyst,12
Lead Data Scientist,8
Marketing Data Analyst,6
Sr. Data Engineer,6
Machine Learning Engineer,5
Principal Data Scientist,5
R&D Specialist/ Food Scientist,4
Medical Laboratory Scientist,4
Research Scientist,4
Senior Research Scientist-Machine Learning,4
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,4
Analytics Manager - Data Mart,4
Food Scientist - Developer,4
Staff Scientist-Downstream Process Development,4
Sr. Data Engineer - Contract-to-Hire (Java),4
Sr. Scientist Method Development,3
"Project Scientist - Auton Lab, Robotics Institute",3
"Scientist, Molecular/Cellular Biologist",3
"Associate Scientist, LC/MS Biologics",3
Revenue Analytics Manager,3
IT - Data Engineer II,3
"Research Scientist, Immunology - Cancer Biology",3
Scientist - Biomarker and Flow Cytometry,3
Senior Scientist - Regulatory Submissions,3
ENVIRONMENTAL ENGINEER/SCIENTIST,3
Senior Data Science Systems Engineer,3
Senior Insurance Data Scientist,3
Associate Data Analyst- Graduate Development Program,3
Scientist - Analytical Services,3
"Principal Scientist, Chemistry & Immunology",3
"Director II, Data Science - GRM Actuarial",3
"Scientist/Senior Scientist, Autoimmune",3
Clinical Data Analyst,3
Staff Data Engineer,3
Consultant - Analytics Consulting,3
Lead Data Engineer,3
"Principal Scientist, Hematology",3
Staff Machine Learning Engineer,3
Software Engineer - Data Visualization,3
Senior Data Scientist - R&D Oncology,3
Principal Data Scientist (Computational Chemistry),3
Senior Scientist (Neuroscience),3
Machine Learning Engineer - Regulatory,3
"Scientist, Bacteriology",3
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",3
Clinical Laboratory Scientist,3
Information Security Data Analyst,3
Sr. Data Analyst,3
Data Science Manager,3
Scientist,3
Staff Scientist- Upstream PD,2
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",2
Sr Data Analyst - IT,2
Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,2
Senior Scientist - Biostatistician,2
Senior Data Scientist Oncology,2
"Associate Principal Scientist, Pharmacogenomics",2
Data Scientist - Systems Engineering,2
Data Engineer - Consultant (Charlotte Based),2
"Data Analyst 1, full-time contract worker for up to 12 months",2
"Scientist, Immuno-Oncology",2
Products Data Analyst II,2
Lead Data Analyst,2
Data Science Engineer - Mobile,2
IT Associate Data Analyst,2
"Scientist, Pharmacometrics",2
Business Data Analyst,2
"Principal, Data Science - Advanced Analytics",2
Data Science Project Manager,2
"Sr Scientist, Immuno-Oncology - Oncology",2
Data Analytics Project Manager,2
Scientist Manufacturing - Kentucky BioProcessing,2
"Director - Data, Privacy and AI Governance",2
Staff BI and Data Engineer,2
Associate Data Engineer,2
Research Scientist – Security and Privacy,2
Market Data Analyst,2
Product Engineer – Data Science,2
Computational Chemist/Data Scientist,2
Director Data Science,2
Senior Research Analytical Scientist-Non-Targeted Analysis,2
Systems Engineer II - Data Analyst,2
Product Engineer – Spatial Data Science and Statistical Analysis,2
Managing Data Scientist/ML Engineer,2
"Technology-Minded, Data Professional Opportunities",2
Salesforce Analytics Consultant,2
Scientist Manufacturing Pharma - Kentucky BioProcessing,2
Sr Data Engineer (Sr BI Developer),2
"Associate, Data Science, Internal Audit",2
Associate Environmental Scientist - Wildlife Biologist,2
Data Modeler - Data Solutions Engineer,2
"Marketing Data Analyst, May 2020 Undergrad",2
Corporate Risk Data Analyst (SQL Based) - Milwaukee or,2
"Senior Manager, Epidemiologic Data Scientist",2
"Enterprise Architect, Data",2
Lead Big Data Engineer,2
Sr Software Engineer (Data Scientist),2
Senior Scientist - Toxicologist - Product Integrity (Stewardship),2
Sr. Data Engineer (ETL Developer),2
Senior Data Scientist Artificial Intelligence,2
Analytics - Business Assurance Data Analyst,2
"Associate Director/Director, Safety Scientist",2
"Senior Scientist, Cell Pharmacology/Assay Development",2
Data Analyst Senior,2
Lead Data Engineer (Python),2
Senior Data Scientist 4 Artificial Intelligence,2
Medical Lab Scientist - MLT,2
"Senior Operations Data Analyst, Call Center Operations",2
"Director II, Data Science - GRS Predictive Analytics",2
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,2
Geospatial Software Developer and Data Scientist,2
Senior LiDAR Data Scientist,2
Big Data Engineer,2
Medical Lab Scientist,2
Senior Data & Machine Learning Scientist,2
Radar Data Analyst,2
"VP, Data Science",2
Machine Learning Research Scientist,2
Excel / VBA / SQL Data Analyst,2
Sr. Data Scientist II,2
"Sr. Scientist, Quantitative Translational Sciences",2
MED TECH/LAB SCIENTIST - LABORATORY,2
Principal Data Scientist with over 10 years experience,2
Principal Scientist - Immunologist,2
Sr. Scientist - Digital & Image Analysis/Computational Pathology,2
Digital Marketing & ECommerce Data Analyst,2
Analytics Manager,2
"Scientist, Analytical Development",2
"Risk and Analytics IT, Data Scientist",2
